C,H,O,N,S,Na,m/z
22,28,7,2,0,0,431.182374
24,32,7,0,0,0,431.207526
25,36,6,0,0,0,431.243911
21,23,9,1,0,0,432.130004
22,27,8,1,0,0,432.166389
23,31,7,1,0,0,432.202775
24,35,6,1,0,0,432.23916
20,22,9,2,0,0,433.125253
22,26,9,0,0,0,433.150405
21,26,8,2,0,0,433.161638
23,30,8,0,0,0,433.18679
22,30,7,2,0,0,433.198024
24,34,7,0,0,0,433.223176
20,21,10,1,0,0,434.109269
21,25,9,1,0,0,434.145654
22,29,8,1,0,0,434.182039
23,33,7,1,0,0,434.218425
19,20,10,2,0,0,435.104517
21,24,10,0,0,0,435.129669
20,24,9,2,0,0,435.140903
22,28,9,0,0,0,435.166055
21,28,8,2,0,0,435.177288
23,32,8,0,0,0,435.20244
24,36,7,0,0,0,435.238826
20,23,10,1,0,0,436.124919
21,27,9,1,0,0,436.161304
22,31,8,1,0,0,436.197689
23,35,7,1,0,0,436.234075
20,22,11,0,0,0,437.108934
19,22,10,2,0,0,437.120167
21,26,10,0,0,0,437.145319
20,26,9,2,0,0,437.156553
22,30,7,0,1,0,437.163947
22,30,9,0,0,0,437.181705
23,34,8,0,0,0,437.21809
24,38,7,0,0,0,437.254476
20,25,10,1,0,0,438.140569
21,29,9,1,0,0,438.176954
22,33,8,1,0,0,438.213339
20,24,11,0,0,0,439.124584
21,28,10,0,0,0,439.16097
22,32,9,0,0,0,439.197355
23,36,8,0,0,0,439.23374
24,40,7,0,0,0,439.270126
19,23,11,1,0,0,440.119833
20,27,10,1,0,0,440.156219
24,27,7,1,0,0,440.171475
21,31,9,1,0,0,440.192604
20,26,9,0,1,0,441.122476
22,22,8,2,0,0,441.130338
20,26,11,0,0,0,441.140234
23,26,7,2,0,0,441.166724
21,30,10,0,0,0,441.17662
22,34,9,0,0,0,441.213005
23,38,8,0,0,0,441.24939
23,25,8,1,0,0,442.150739
20,29,10,1,0,0,442.171869
24,29,7,1,0,0,442.187125
19,24,10,0,1,0,443.101741
19,24,12,0,0,0,443.119499
20,28,9,0,1,0,443.138126
22,24,8,2,0,0,443.145988
20,28,11,0,0,0,443.155884
23,28,7,2,0,0,443.182374
21,32,10,0,0,0,443.19227
25,32,7,0,0,0,443.207526
22,36,9,0,0,0,443.228655
22,23,9,1,0,0,444.130004
23,27,8,1,0,0,444.166389
24,31,7,1,0,0,444.202775
19,26,10,0,1,0,445.117391
